series,episode,baker,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
1,1,annetha,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",Annetha Mills,30,Midwife,Essex,2,IN
1,1,david,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",David Chambers,31,Entrepreneur,Milton Keynes,3,IN
1,1,edd,Caramel Cinnamon and Banana Cake,NA,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,IN
1,1,jasminder,Fresh Mango and Passion Fruit Hummingbird Cake,NA,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,NA,IN
1,1,jonathan,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,Jonathan Shepherd,25,Research Analyst,St Albans,9,IN
1,1,lea,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,Lea Harris,51,Retired,"Midlothian, Scotland",10,OUT
1,1,louise,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",Louise Brimelow,44,Police Officer,Manchester,NA,IN
1,1,mark,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,Mark Whithers,48,Bus Driver,South Wales,NA,OUT
1,1,miranda,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",8,IN
1,1,ruth,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",NA,IN
1,2,annetha,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,Annetha Mills,30,Midwife,Essex,7,OUT
1,2,david,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,David Chambers,31,Entrepreneur,Milton Keynes,8,IN
1,2,edd,Oatmeal Raisin Cookie,Pink Macarons,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,6,IN
1,2,jasminder,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,2,IN
1,2,jonathan,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,Jonathan Shepherd,25,Research Analyst,St Albans,1,IN
1,2,louise,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",Louise Brimelow,44,Police Officer,Manchester,4,OUT
1,2,miranda,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",3,IN
1,2,ruth,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",5,IN
1,3,david,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",David Chambers,31,Entrepreneur,Milton Keynes,4,IN
1,3,edd,Olive Bread,Tomato and Mozzarella,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,IN
1,3,jasminder,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,5,IN
1,3,jonathan,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",Jonathan Shepherd,25,Research Analyst,St Albans,6,OUT
1,3,miranda,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",3,IN
1,3,ruth,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",2,IN
1,4,david,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",David Chambers,31,Entrepreneur,Milton Keynes,5,OUT
1,4,edd,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,3,IN
1,4,jasminder,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,2,IN
1,4,miranda,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,IN
1,4,ruth,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",4,IN
1,5,edd,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,2,IN
1,5,jasminder,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",Jasminder Randhawa,45,Assistant Credit Control Manager,Birmingham,4,OUT
1,5,miranda,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",1,IN
1,5,ruth,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",3,IN
1,6,edd,Cinnamon and Banana Cake,NA,Edd Kimber,24,Debt collector for Yorkshire Bank,Bradford,NA,WINNER
1,6,miranda,Lemon Cupcake,Eliminated after signature,Miranda Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",NA,Runner-up
1,6,ruth,"Mint, Ginger and Blackberry Cake",NA,Ruth Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",NA,Runner-up
2,1,ben,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,Ben Frazer,31,Graphic Designer,Northampton,2,IN
2,1,holly,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,Holly Bell,31,Advertising executive,Leicester,1,STAR BAKER
2,1,ian,Apple and Cinnamon Cupcakes,UNKNOWN,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",10,IN
2,1,janet,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN
2,1,jason,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,Jason White,19,Civil Engineering Student,Croydon,6,IN
2,1,"""jo""",Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA,NA,NA,NA,NA
2,1,keith,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,Keith Batsford,31,House husband,"Arlesey, Bedfordshire",12,OUT
2,1,mary-anne,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,Mary-Anne Boermans,45,Housewife,"Kidderminster, Worcestershire",4,IN
2,1,robert,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,Robert Billington,25,Photographer,London,3,IN
2,1,simon,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,Simon Blackwell,31,Rugby Coach,Norfolk,9,IN
2,1,urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,Urvashi Roe,40,Head of Marketing,"Enfield, London",7,IN
2,1,yasmin,Cardamom and Pomegranate Cupcakes,UNKNOWN,Yasmin Limbert,43,Childminder,"West Kirby, The Wirral",5,IN
2,2,ben,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,Ben Frazer,31,Graphic Designer,Northampton,1,IN
2,2,holly,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,Holly Bell,31,Advertising executive,Leicester,4,IN
2,2,ian,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,Ian Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",2,IN
2,2,janet,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,Janet Basu,63,Teacher of Modern Languages,"Formby, Liverpool",8,IN
2,2,jason,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,Jason White,19,Civil Engineering Student,Croydon,3,STAR BAKER
2,2,"""jo""","Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA,NA,NA,NA,NA
